Ward,Road_Type,No_of_vehicles_involved,Time_Range,Month_Num,Nepali_Season,Weather_Clear,Weather_Cold,Weather_Cool,Weather_Dry,Weather_Dusty,Weather_Foggy,Weather_Frosty,Weather_Hot,Weather_Humid,Weather_Mild,Weather_Overcast,Weather_Pleasant,Weather_Rainy,Weather_Thunderstorm,Weather_Warm,Weather_Windy,Severity,Ward_Location_Risk
3,0,1,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0076754385964912
12,1,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0197368421052631
7,1,2,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0131578947368421
3,2,2,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0142543859649122
3,0,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006578947368421
14,1,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0844298245614035
4,1,1,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0285087719298245
15,1,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0449561403508771
13,1,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0734649122807017
9,0,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0087719298245614
12,1,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0197368421052631
9,1,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701
14,0,2,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0844298245614035
14,0,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0844298245614035
4,0,1,0,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006578947368421
4,0,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0131578947368421
6,0,2,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0175438596491228
4,0,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006578947368421
15,1,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006578947368421
14,0,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0844298245614035
14,1,1,0,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0844298245614035
14,0,1,3,4,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0844298245614035
13,1,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701
15,0,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006578947368421
15,0,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0449561403508771
7,1,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0032894736842105
13,1,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0054824561403508
10,1,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0109649122807017
12,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0197368421052631
5,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0021929824561403
15,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006578947368421
4,0,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0087719298245614
15,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0449561403508771
4,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0285087719298245
4,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0350877192982456
17,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0164473684210526
14,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0032894736842105
18,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0197368421052631
14,0,1,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0844298245614035
12,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0087719298245614
12,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0087719298245614
10,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701
1,1,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701
12,0,4,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0197368421052631
11,0,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0032894736842105
13,0,3,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0734649122807017
4,1,1,0,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0032894736842105
5,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701
3,0,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0054824561403508
3,0,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0054824561403508
5,1,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0021929824561403
5,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0032894736842105
2,1,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0043859649122807
3,0,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0142543859649122
6,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0175438596491228
13,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0734649122807017
1,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0098684210526315
3,0,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0087719298245614
3,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0032894736842105
12,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0197368421052631
11,0,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0032894736842105
4,0,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0285087719298245
12,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0087719298245614
15,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0449561403508771
13,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0734649122807017
18,1,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0197368421052631
13,1,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0734649122807017
2,0,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0076754385964912
14,0,1,0,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0844298245614035
4,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0098684210526315
2,0,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0043859649122807
12,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0197368421052631
3,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0087719298245614
4,0,3,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0131578947368421
8,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0109649122807017
2,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0054824561403508
3,0,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0087719298245614
5,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0032894736842105
3,1,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0032894736842105
3,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0142543859649122
2,0,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0076754385964912
2,0,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0054824561403508
10,1,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021929824561403
2,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0043859649122807
4,0,2,0,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0285087719298245
4,1,1,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0032894736842105
11,1,1,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021929824561403
4,0,3,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0098684210526315
4,0,1,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0350877192982456
4,0,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0087719298245614
15,1,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0449561403508771
15,0,1,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.006578947368421
5,0,1,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.006578947368421
6,1,1,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0175438596491228
4,1,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0285087719298245
3,1,1,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010964912280701
16,1,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0230263157894736
4,1,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0098684210526315
10,1,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0109649122807017
11,1,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021929824561403
1,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0098684210526315
14,1,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0844298245614035
15,0,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0449561403508771
7,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010964912280701
14,0,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0844298245614035
13,0,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010964912280701
10,1,1,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010964912280701
15,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0449561403508771
2,1,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0043859649122807
4,0,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0032894736842105
13,0,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021929824561403
9,1,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010964912280701
13,1,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0054824561403508
10,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010964912280701
3,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0142543859649122
4,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0285087719298245
3,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021929824561403
4,1,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0285087719298245
4,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0032894736842105
13,1,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0734649122807017
19,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021929824561403
10,0,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010964912280701
