Ward,Road_Type,No_of_vehicles_involved,Time_Range,Month_Num,Nepali_Season,Weather_Clear,Weather_Cold,Weather_Cool,Weather_Dry,Weather_Dusty,Weather_Foggy,Weather_Frosty,Weather_Hot,Weather_Humid,Weather_Mild,Weather_Overcast,Weather_Pleasant,Weather_Rainy,Weather_Thunderstorm,Weather_Warm,Weather_Windy,Severity,Ward_Location_Risk
18,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.004381161007667
14,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0843373493975903
13,0,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0744797371303395
6,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0021905805038335
18,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0197152245345016
9,0,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0032858707557502
12,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010952902519167
12,0,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.008762322015334
12,1,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.008762322015334
18,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0197152245345016
14,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0843373493975903
13,0,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010952902519167
14,0,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0032858707557502
13,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0744797371303395
11,0,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010952902519167
15,0,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0065717415115005
13,1,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0744797371303395
12,0,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0076670317634173
13,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0744797371303395
2,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010952902519167
2,1,3,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0054764512595837
13,0,2,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0744797371303395
3,0,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0262869660460021
3,1,1,0,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0032858707557502
9,0,1,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0010952902519167
4,0,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0350492880613362
13,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0744797371303395
15,0,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0065717415115005
4,0,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0021905805038335
9,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0032858707557502
